station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
10069,Dakota,Eagan,Freeway & Expressway,U,MN 77,,,SOUTH OF,MN 13,2-WAY,NB/SB,Two-Way Roadway,0300000000000077-I,5.1243237,44.81059709,-93.21900865,86125,11/11/2025
10205,Washington,Cottage Grove,Freeway & Expressway,U,US 61,,,,CSAH39 (80th St S),2-WAY,NB/SB,Two-Way Roadway,0200000000000061-I,126.0656596,44.83642262,-92.96883207,60118,11/11/2025
10206,Washington,Newport,Interstate,U,I 494,CSAH 38 (Maxwell Ave),MSAS 152 (Hardman Ave S),BETWEEN,CSAH 38 (Maxwell Ave) AND MSAS 152 (Hardman Ave S),2-WAY,EB/WB,Two-Way Roadway,0100000000000494-I,63.2822491,44.883202,-93.01546,119764,11/11/2025
10225,Washington,-,Interstate,U,I 94,,,WEST OF,CSAH 21 (STAGECOAH TR N),2-WAY,EB/WB,Two-Way Roadway,0100000000000094-I,257.184252,44.95228262,-92.80434823,80935,11/11/2025
10250,Rice,-,Interstate,R,I 35,,,SOUTH OF,CSAH2 (260th ST),2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,70.099146,44.478495,-93.291835,44925,10/31/2025
1028,Clay,Moorhead,Interstate,U,I 94,,,WEST OF,US 75,2-WAY,EB/WB,Two-Way Roadway,0100000000000094-I,0.17526,46.847191,-96.777207,71181,1/1/2024
10310,Hennepin,Edina,Freeway & Expressway,U,US 169,,,NORTH OF,BREN RD W IN MINNETONKA,2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,123.0618676,44.90756023,-93.40120538,82895,11/11/2025
10338,Hennepin,Golden Valley,Freeway & Expressway,U,US 169,,,SOUTH OF,MN 55,2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,128.1404586,44.97985074,-93.40043823,90283,11/11/2025
10390,Hennepin,Plymouth,Interstate,U,I 494,,,SOUTH OF,CSAH10 (BASS LAKE RD) IN PLYMOUTH,2-WAY,NB/SB,Two-Way Roadway,0100000000000494-I,25.5134096,45.0632301,-93.4490184,97450,11/11/2025
10398,Hennepin,Rogers,Interstate,U,I 94,,,,MN 101,2-WAY,EB/WB,Two-Way Roadway,0100000000000094-I,207.7338557,45.19954609,-93.56363556,87864,11/11/2025
10454,Anoka,East Bethel,Other Principal Arterial,R,MN 65,,,NORTH OF,CSAH22 (VIKING BLVD NE) IN E BETH,2-WAY,NB/SB,Two-Way Roadway,0300000000000065-I,25.6865643,45.34557,-93.236631,28610,10/31/2025
10556,Carver,-,Other Principal Arterial,R,MN 7,,,WEST OF,CSAH33,2-WAY,EB/WB,Two-Way Roadway,0300000000000007-I,161.1793471,44.90620598,-93.98732153,8966,10/31/2025
