Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
13484	FHA_01_001402_5+FHA_01_021402_5	1	0	75	-1	1	12.247
13484	FHA_01_001402_5+FHA_01_021402_5	2	3.6	41	-0.912	0.912	7.92
13484	FHA_01_001402_5+FHA_01_021402_5	3	15.2	31	-0.51	0.51	3.287
13484	FHA_01_001402_5+FHA_01_021402_5	4	57.2	32	0.788	0.441	3.773
13484	FHA_01_001402_5+FHA_01_021402_5	5	275.2	54	4.096	0.804	17.241
13484	FHA_01_001402_5+FHA_01_021402_5	6	638	146	3.37	0.771	24.85
13484	FHA_01_001402_5+FHA_01_021402_5	7	1117.2	376	1.971	0.663	27.126
13484	FHA_01_001402_5+FHA_01_021402_5	8	1271.6	714	0.781	0.439	17.697
13484	FHA_01_001402_5+FHA_01_021402_5	9	1366.4	706	0.935	0.483	20.516
13484	FHA_01_001402_5+FHA_01_021402_5	10	1223.6	656	0.865	0.464	18.515
13484	FHA_01_001402_5+FHA_01_021402_5	11	979.6	675	0.451	0.311	10.59
13484	FHA_01_001402_5+FHA_01_021402_5	12	994.8	752	0.323	0.244	8.216
13484	FHA_01_001402_5+FHA_01_021402_5	13	940.8	808	0.164	0.141	4.491
13484	FHA_01_001402_5+FHA_01_021402_5	14	1144.4	805	0.422	0.297	10.871
13484	FHA_01_001402_5+FHA_01_021402_5	15	1189.2	828	0.436	0.304	11.373
13484	FHA_01_001402_5+FHA_01_021402_5	16	1329.6	901	0.476	0.322	12.834
13484	FHA_01_001402_5+FHA_01_021402_5	17	1308.4	984	0.33	0.248	9.582
13484	FHA_01_001402_5+FHA_01_021402_5	18	1289.6	964	0.338	0.252	9.7
13484	FHA_01_001402_5+FHA_01_021402_5	19	1085.2	716	0.516	0.34	12.303
13484	FHA_01_001402_5+FHA_01_021402_5	20	924.8	533	0.735	0.424	14.512
13484	FHA_01_001402_5+FHA_01_021402_5	21	801.6	424	0.891	0.471	15.254
13484	FHA_01_001402_5+FHA_01_021402_5	22	634.4	329	0.928	0.481	13.915
13484	FHA_01_001402_5+FHA_01_021402_5	23	624	226	1.761	0.638	19.306
13484	FHA_01_001402_5+FHA_01_021402_5	24	506	141	2.589	0.721	20.293
139305	FHA_01_001462_1	1	4	14	-0.714	0.714	3.333
139305	FHA_01_001462_1	2	2.8	7	-0.6	0.6	1.897
139305	FHA_01_001462_1	3	8	8	0	0	0
139305	FHA_01_001462_1	4	76.4	11	5.945	0.856	9.893
139305	FHA_01_001462_1	5	292.8	17	16.224	0.942	22.16
139305	FHA_01_001462_1	6	685.6	39	16.579	0.943	33.97
139305	FHA_01_001462_1	7	1008.8	95	9.619	0.906	38.897
139305	FHA_01_001462_1	8	1321.2	177	6.464	0.866	41.805
139305	FHA_01_001462_1	9	1200.4	184	5.524	0.847	38.632
139305	FHA_01_001462_1	10	882	190	3.642	0.785	29.89
139305	FHA_01_001462_1	11	758.4	211	2.594	0.722	24.864
139305	FHA_01_001462_1	12	674.4	231	1.919	0.657	20.84
139305	FHA_01_001462_1	13	678.4	272	1.494	0.599	18.643
139305	FHA_01_001462_1	14	582.4	275	1.118	0.528	14.847
139305	FHA_01_001462_1	15	746.4	263	1.838	0.648	21.517
