iteration;car;pt;walk
0;0.9298995861778909;0.004672960367708357;0.06542745345440071
1;0.8629940893284966;0.012928373476331028;0.12407753719517232
2;0.8496180970191289;0.014112009853622633;0.1362698931272484
3;0.8433484292033737;0.014720350885098649;0.14193121991152768
4;0.8365290013443586;0.01539177913465366;0.14807921952098776
5;0.8327377599531353;0.016121788372424877;0.1511404516744399
6;0.8296885444126505;0.016273498111138648;0.15403795747621085
7;0.8263989966128172;0.01650031168089884;0.15710069170628393
8;0.8253715762041022;0.016605457044363833;0.158022966751534
9;0.9316720365905865;0.003468294917723753;0.06485966849168977
10;0.931409173181924;0.0034637886878609676;0.06512703813021502
