iteration;avg_executed;avg_worst;avg_average;avg_best
0;22.087690251286375;22.087690251286375;22.087690251286375;22.087690251286375
1;42.05169165476287;23.92611987213087;41.71394745037326;59.50177502861526
2;53.1748341923687;11.963764929900131;45.20804857560321;76.18071803239722
3;58.65276427248531;-1.904381592112093;44.628673693656225;85.30152097364896
4;58.57505844392381;-17.89142360627332;41.09436191690865;89.0096716410067
5;58.64662825058773;-32.56894444716051;37.421117367516636;91.16443726642854
6;57.92691970057876;-42.96503766559234;34.501741329326904;91.92510278989147
7;57.043375900442335;-52.45981486092936;32.06819918227485;92.6346225953732
8;55.955235694401836;-58.91456766556025;30.52684502748443;92.65150657851274
9;89.94368408691236;-51.138330006462006;32.523934897867846;91.32214869534116
10;90.05010132329569;-51.21546360281119;32.24128388577247;90.86383263967113
