device_id,station_base,link_id,reverse_link_id,bidirectional,hour,observed,simulated,error,abs_error,pct_error,geh
FHA_55_130604_1,FHA_55_130604,31984,,False,0,156.0,0.0,-156.0,156.0,-100.0,17.664
FHA_55_130604_1,FHA_55_130604,31984,,False,1,105.0,0.0,-105.0,105.0,-100.0,14.491
FHA_55_130604_1,FHA_55_130604,31984,,False,2,90.0,13.2,-76.8,76.8,-85.33333333333333,10.691
FHA_55_130604_1,FHA_55_130604,31984,,False,3,120.0,63.6,-56.4,56.4,-47.0,5.887
FHA_55_130604_1,FHA_55_130604,31984,,False,4,241.0,308.0,67.0,67.0,27.800829875518673,4.044
FHA_55_130604_1,FHA_55_130604,31984,,False,5,609.0,781.2,172.20000000000005,172.20000000000005,28.275862068965523,6.531
FHA_55_130604_1,FHA_55_130604,31984,,False,6,975.0,1169.2,194.20000000000005,194.20000000000005,19.917948717948722,5.931
FHA_55_130604_1,FHA_55_130604,31984,,False,7,1411.0,1690.4,279.4000000000001,279.4000000000001,19.801559177888027,7.095
FHA_55_130604_1,FHA_55_130604,31984,,False,8,1400.0,1526.0,126.0,126.0,9.0,3.294
FHA_55_130604_1,FHA_55_130604,31984,,False,9,1311.0,1286.4,-24.59999999999991,24.59999999999991,-1.8764302059496498,0.683
FHA_55_130604_1,FHA_55_130604,31984,,False,10,1366.0,959.2,-406.79999999999995,406.79999999999995,-29.780380673499263,11.931
FHA_55_130604_1,FHA_55_130604,31984,,False,11,1420.0,906.8,-513.2,513.2,-36.140845070422536,15.046
FHA_55_130604_1,FHA_55_130604,31984,,False,12,1491.0,837.2,-653.8,653.8,-43.84976525821596,19.162
FHA_55_130604_1,FHA_55_130604,31984,,False,13,1570.0,1112.4,-457.5999999999999,457.5999999999999,-29.14649681528662,12.495
FHA_55_130604_1,FHA_55_130604,31984,,False,14,1598.0,1474.0,-124.0,124.0,-7.759699624530664,3.164
FHA_55_130604_1,FHA_55_130604,31984,,False,15,1792.0,2104.0,312.0,312.0,17.410714285714285,7.069
FHA_55_130604_1,FHA_55_130604,31984,,False,16,1978.0,1974.4,-3.599999999999909,3.599999999999909,-0.182002022244687,0.081
FHA_55_130604_1,FHA_55_130604,31984,,False,17,1846.0,1778.4,-67.59999999999991,67.59999999999991,-3.6619718309859106,1.588
FHA_55_130604_1,FHA_55_130604,31984,,False,18,1328.0,1256.0,-72.0,72.0,-5.421686746987952,2.003
FHA_55_130604_1,FHA_55_130604,31984,,False,19,997.0,1249.2,252.20000000000005,252.20000000000005,25.29588766298897,7.526
FHA_55_130604_1,FHA_55_130604,31984,,False,20,851.0,840.0,-11.0,11.0,-1.2925969447708578,0.378
FHA_55_130604_1,FHA_55_130604,31984,,False,21,702.0,721.6,19.600000000000023,19.600000000000023,2.792022792022795,0.735
FHA_55_130604_1,FHA_55_130604,31984,,False,22,510.0,625.6,115.60000000000002,115.60000000000002,22.66666666666667,4.851
FHA_55_130604_1,FHA_55_130604,31984,,False,23,293.0,430.8,137.8,137.8,47.030716723549496,7.244
FHA_55_130215_5,FHA_55_130215,31990,,False,0,75.0,3.2,-71.8,71.8,-95.73333333333332,11.482
FHA_55_130215_5,FHA_55_130215,31990,,False,1,54.0,0.0,-54.0,54.0,-100.0,10.392
FHA_55_130215_5,FHA_55_130215,31990,,False,2,41.0,0.0,-41.0,41.0,-100.0,9.055
FHA_55_130215_5,FHA_55_130215,31990,,False,3,43.0,16.4,-26.6,26.6,-61.86046511627907,4.881
FHA_55_130215_5,FHA_55_130215,31990,,False,4,79.0,78.0,-1.0,1.0,-1.2658227848101267,0.113
FHA_55_130215_5,FHA_55_130215,31990,,False,5,194.0,171.2,-22.80000000000001,22.80000000000001,-11.752577319587635,1.687
FHA_55_130215_5,FHA_55_130215,31990,,False,6,384.0,446.8,62.80000000000001,62.80000000000001,16.35416666666667,3.081
FHA_55_130215_5,FHA_55_130215,31990,,False,7,603.0,795.2,192.20000000000005,192.20000000000005,31.873963515754568,7.269
FHA_55_130215_5,FHA_55_130215,31990,,False,8,572.0,650.4,78.39999999999998,78.39999999999998,13.706293706293701,3.171
FHA_55_130215_5,FHA_55_130215,31990,,False,9,607.0,411.2,-195.8,195.8,-32.25700164744646,8.678
FHA_55_130215_5,FHA_55_130215,31990,,False,10,660.0,378.8,-281.2,281.2,-42.6060606060606,12.339
FHA_55_130215_5,FHA_55_130215,31990,,False,11,737.0,500.8,-236.2,236.2,-32.04884667571235,9.494
FHA_55_130215_5,FHA_55_130215,31990,,False,12,782.0,660.0,-122.0,122.0,-15.601023017902813,4.544
FHA_55_130215_5,FHA_55_130215,31990,,False,13,798.0,686.8,-111.20000000000005,111.20000000000005,-13.934837092731836,4.081
FHA_55_130215_5,FHA_55_130215,31990,,False,14,900.0,830.0,-70.0,70.0,-7.777777777777778,2.38
FHA_55_130215_5,FHA_55_130215,31990,,False,15,1060.0,982.0,-78.0,78.0,-7.3584905660377355,2.441
FHA_55_130215_5,FHA_55_130215,31990,,False,16,1044.0,1080.0,36.0,36.0,3.4482758620689653,1.105
FHA_55_130215_5,FHA_55_130215,31990,,False,17,841.0,884.4,43.39999999999998,43.39999999999998,5.160523186682518,1.478
FHA_55_130215_5,FHA_55_130215,31990,,False,18,624.0,636.8,12.799999999999955,12.799999999999955,2.051282051282044,0.51
FHA_55_130215_5,FHA_55_130215,31990,,False,19,519.0,552.8,33.799999999999955,33.799999999999955,6.512524084778411,1.46
FHA_55_130215_5,FHA_55_130215,31990,,False,20,428.0,383.6,-44.39999999999998,44.39999999999998,-10.37383177570093,2.204
