Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
31984	FHA_55_130604_1	1	0	156	-1	1	17.664
31984	FHA_55_130604_1	2	0	105	-1	1	14.491
31984	FHA_55_130604_1	3	13.2	90	-0.853	0.853	10.691
31984	FHA_55_130604_1	4	63.6	120	-0.47	0.47	5.887
31984	FHA_55_130604_1	5	308	241	0.278	0.218	4.044
31984	FHA_55_130604_1	6	781.2	609	0.283	0.22	6.531
31984	FHA_55_130604_1	7	1169.2	975	0.199	0.166	5.931
31984	FHA_55_130604_1	8	1690.4	1411	0.198	0.165	7.095
31984	FHA_55_130604_1	9	1526	1400	0.09	0.083	3.294
31984	FHA_55_130604_1	10	1286.4	1311	-0.019	0.019	0.683
31984	FHA_55_130604_1	11	959.2	1366	-0.298	0.298	11.931
31984	FHA_55_130604_1	12	906.8	1420	-0.361	0.361	15.046
31984	FHA_55_130604_1	13	837.2	1491	-0.438	0.438	19.162
31984	FHA_55_130604_1	14	1112.4	1570	-0.291	0.291	12.495
31984	FHA_55_130604_1	15	1474	1598	-0.078	0.078	3.164
31984	FHA_55_130604_1	16	2104	1792	0.174	0.148	7.069
31984	FHA_55_130604_1	17	1974.4	1978	-0.002	0.002	0.081
31984	FHA_55_130604_1	18	1778.4	1846	-0.037	0.037	1.588
31984	FHA_55_130604_1	19	1256	1328	-0.054	0.054	2.003
31984	FHA_55_130604_1	20	1249.2	997	0.253	0.202	7.526
31984	FHA_55_130604_1	21	840	851	-0.013	0.013	0.378
31984	FHA_55_130604_1	22	721.6	702	0.028	0.027	0.735
31984	FHA_55_130604_1	23	625.6	510	0.227	0.185	4.851
31984	FHA_55_130604_1	24	430.8	293	0.47	0.32	7.244
31990	FHA_55_130215_5	1	3.2	75	-0.957	0.957	11.482
31990	FHA_55_130215_5	2	0	54	-1	1	10.392
31990	FHA_55_130215_5	3	0	41	-1	1	9.055
31990	FHA_55_130215_5	4	16.4	43	-0.619	0.619	4.881
31990	FHA_55_130215_5	5	78	79	-0.013	0.013	0.113
31990	FHA_55_130215_5	6	171.2	194	-0.118	0.118	1.687
31990	FHA_55_130215_5	7	446.8	384	0.164	0.141	3.081
31990	FHA_55_130215_5	8	795.2	603	0.319	0.242	7.269
31990	FHA_55_130215_5	9	650.4	572	0.137	0.121	3.171
31990	FHA_55_130215_5	10	411.2	607	-0.323	0.323	8.678
31990	FHA_55_130215_5	11	378.8	660	-0.426	0.426	12.339
31990	FHA_55_130215_5	12	500.8	737	-0.32	0.32	9.494
31990	FHA_55_130215_5	13	660	782	-0.156	0.156	4.544
31990	FHA_55_130215_5	14	686.8	798	-0.139	0.139	4.081
31990	FHA_55_130215_5	15	830	900	-0.078	0.078	2.38
31990	FHA_55_130215_5	16	982	1060	-0.074	0.074	2.441
31990	FHA_55_130215_5	17	1080	1044	0.034	0.033	1.105
31990	FHA_55_130215_5	18	884.4	841	0.052	0.049	1.478
31990	FHA_55_130215_5	19	636.8	624	0.021	0.02	0.51
31990	FHA_55_130215_5	20	552.8	519	0.065	0.061	1.46
31990	FHA_55_130215_5	21	383.6	428	-0.104	0.104	2.204
31990	FHA_55_130215_5	22	320.4	343	-0.066	0.066	1.241
31990	FHA_55_130215_5	23	304	242	0.256	0.204	3.752
31990	FHA_55_130215_5	24	271.6	164	0.656	0.396	7.291
40760	FHA_55_130215_1	1	0	68	-1	1	11.662
40760	FHA_55_130215_1	2	0	43	-1	1	9.274
40760	FHA_55_130215_1	3	6.8	49	-0.861	0.861	7.989
40760	FHA_55_130215_1	4	26.4	73	-0.638	0.638	6.61
40760	FHA_55_130215_1	5	204.4	123	0.662	0.398	6.362
40760	FHA_55_130215_1	6	502	369	0.36	0.265	6.373
40760	FHA_55_130215_1	7	885.2	610	0.451	0.311	10.065
40760	FHA_55_130215_1	8	1137.2	827	0.375	0.273	9.898
40760	FHA_55_130215_1	9	959.6	870	0.103	0.093	2.962
40760	FHA_55_130215_1	10	830.8	817	0.017	0.017	0.481
40760	FHA_55_130215_1	11	606.4	829	-0.269	0.269	8.309
40760	FHA_55_130215_1	12	502	883	-0.431	0.431	14.478
40760	FHA_55_130215_1	13	508.4	933	-0.455	0.455	15.816
40760	FHA_55_130215_1	14	565.6	910	-0.378	0.378	12.679
40760	FHA_55_130215_1	15	728	935	-0.221	0.221	7.179
40760	FHA_55_130215_1	16	976.8	1030	-0.052	0.052	1.679
40760	FHA_55_130215_1	17	1079.2	1132	-0.047	0.047	1.588
40760	FHA_55_130215_1	18	862.4	985	-0.124	0.124	4.034
40760	FHA_55_130215_1	19	647.2	701	-0.077	0.077	2.072
