iteration;car;pt;walk
0;0.9113973719500795;0.015182954836595122;0.07341967321332536
1;0.8441958319580657;0.03224935314334251;0.1235548148985918
2;0.8307532158181554;0.035836205046058965;0.13341057913578566
3;0.8248582224078994;0.036357845026762904;0.13878393256533772
4;0.8178991757626677;0.03818589310073422;0.14391493113659812
5;0.8151386385196504;0.038977585637820285;0.14588377584252935
6;0.8119741765128137;0.0398893015332984;0.14813652195388796
7;0.8101807505614554;0.04000701675018292;0.14981223268836166
8;0.809105156618942;0.040304767004655524;0.15059007637640248
9;0.9162883238045558;0.013036383234583346;0.07067529296086085
10;0.9157320617012388;0.01291866801769883;0.07134927028106239
